[2025-11-18 09:11:50] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-17
正在获取论文...
[arXiv] 2025-11-17 | Segment Anything Across Shots: A Method and Benchmark
[arXiv] 2025-11-17 | Radiative Decays of Vector Mesons with Light-Cone Sum Rules
[arXiv] 2025-11-17 | Vanishing of weight one syzygies of projective varieties
[arXiv] 2025-11-17 | RAGPulse: An Open-Source RAG Workload Trace to Optimize RAG Serving Systems
[arXiv] 2025-11-17 | On a calculation method of the thickness via partial differential equations
[arXiv] 2025-11-17 | SplatSearch: Instance Image Goal Navigation for Mobile Robots using 3D Gaussian Splatting and Diffusion Models
[arXiv] 2025-11-17 | $L^{\vec{p}}-L^{\vec{q}}$ Boundedness of Multiparameter Forelli-Rudin Type Operators on Tube Domains Over The Forward Light Cones
[arXiv] 2025-11-17 | CalibrateMix: Guided-Mixup Calibration of Image Semi-Supervised Models
[arXiv] 2025-11-17 | Personalized Federated Recommendation With Knowledge Guidance
[arXiv] 2025-11-17 | T2I-Based Physical-World Appearance Attack against Traffic Sign Recognition Systems in Autonomous Driving
[arXiv] 2025-11-17 | Unconfined flow of a non-Newtonian power-law fluid past counter-rotating circular cylinders
[arXiv] 2025-11-17 | Design and Evaluation of an AI-DrivenPersonalized Mobile App to Provide MultifacetedHealth Support for Type 2 Diabetes Patients inChina
[arXiv] 2025-11-17 | Diffploit: Facilitating Cross-Version Exploit Migration for Open Source Library Vulnerabilities
[arXiv] 2025-11-17 | Can We Predict the Next Question? A Collaborative Filtering Approach to Modeling User Behavior
[arXiv] 2025-11-17 | A Plug-and-Play Spatially-Constrained Representation Enhancement Framework for Local-Life Recommendation
[arXiv] 2025-11-17 | The Minimum Number of Edges in $(p+1)K_2$-Saturated Graphs
[arXiv] 2025-11-17 | The doubling property of the elliptic measure, for elliptic operators with drifts satisfying an average diverging condition
[arXiv] 2025-11-17 | cryoSENSE: Compressive Sensing Enables High-throughput Microscopy with Sparse and Generative Priors on the Protein Cryo-EM Image Manifold
[arXiv] 2025-11-17 | Visual Room 2.0: Seeing is Not Understanding for MLLMs
[arXiv] 2025-11-17 | Lectures on stabilized ellipsoid embeddings
[arXiv] 2025-11-17 | Fast Quantum Many Body State Synthesis
[arXiv] 2025-11-17 | Inverse Design of Integrated Terahertz Vortex Beam Emitters with Staged-Annealing Topology Optimization
[arXiv] 2025-11-17 | Explore How to Inject Beneficial Noise in MLLMs
[arXiv] 2025-11-17 | Planar graphs without cycles of length 4 or 5 are $(7m:2m)$-DP-colorable
[arXiv] 2025-11-17 | Asymptotically circularly polarized bound states in the continuum
[arXiv] 2025-11-17 | Method of Manufactured Learning for Solver-free Training of Neural Operators
[arXiv] 2025-11-17 | Extreme Aerodynamics: A Data-Driven Perspective
[arXiv] 2025-11-17 | A note on Schmidt-number witnesses based on symmetric measurements
[arXiv] 2025-11-17 | Application of Solving Inverse Scattering Problem in Holographic Bulk Reconstruction
[arXiv] 2025-11-17 | Agent READMEs: An Empirical Study of Context Files for Agentic Coding
[arXiv] 2025-11-17 | Resilient and Efficient Allocation for Large-Scale Autonomous Fleets via Decentralized Coordination
[arXiv] 2025-11-17 | Uni-Hand: Universal Hand Motion Forecasting in Egocentric Views
[arXiv] 2025-11-17 | Pulsation of quantum walk between two arbitrary graphs with weakly connected bridge
[arXiv] 2025-11-17 | Classification of Fixed Subgroups of Endomorphisms in Free-abelian Times Surface Groups
[arXiv] 2025-11-17 | Dissecting and Re-architecting 3D NAND Flash PIM Arrays for Efficient Single-Batch Token Generation in LLMs
[arXiv] 2025-11-17 | Approximate Message Passing for Quantum State Tomography
[arXiv] 2025-11-17 | Human-Centred Requirements Engineering for Critical Systems: Insights from Disaster Early Warning Applications
[arXiv] 2025-11-17 | Quantifying consistency and accuracy of Latent Dirichlet Allocation
[arXiv] 2025-11-17 | Mapping fNIRS Signals to Agent Performance: Toward Reinforcement Learning from Neural Feedback
[arXiv] 2025-11-17 | Dropouts in Confidence: Moral Uncertainty in Human-LLM Alignment
[arXiv] 2025-11-17 | SkyReels-Text: Fine-grained Font-Controllable Text Editing for Poster Design
[arXiv] 2025-11-17 | Towards Metric-Aware Multi-Person Mesh Recovery by Jointly Optimizing Human Crowd in Camera Space
[arXiv] 2025-11-17 | Is your VLM Sky-Ready? A Comprehensive Spatial Intelligence Benchmark for UAV Navigation
[arXiv] 2025-11-17 | TransFit-CSM: A Fast, Physically Consistent Framework for Interaction-Powered Transients
[arXiv] 2025-11-17 | The extension dimension of group graded rings
[arXiv] 2025-11-17 | MMD-Thinker: Adaptive Multi-Dimensional Thinking for Multimodal Misinformation Detection
[arXiv] 2025-11-17 | Describing UPC Data with the Sar$t$re Event Generator
[arXiv] 2025-11-17 | Probing the Nature of Dark Matter Self-Interactions Through Observations of Massive Black Hole Mergers
[arXiv] 2025-11-17 | FoleyBench: A Benchmark For Video-to-Audio Models
[arXiv] 2025-11-17 | Numerical renormalization group integrated Hamiltonian truncation: Toward generic deformation of integrable lattice models
[arXiv] 2025-11-17 | 3DAlign-DAER: Dynamic Attention Policy and Efficient Retrieval Strategy for Fine-grained 3D-Text Alignment at Scale
[arXiv] 2025-11-17 | End-to-End Multi-Person Pose Estimation with Pose-Aware Video Transformer
[arXiv] 2025-11-17 | Greedy matroid base packings with applications to dynamic graph density and orientations
[arXiv] 2025-11-17 | Sampling in BV-Type Spaces
[arXiv] 2025-11-17 | The correlated matching decoder for the 4.8.8 color code
[arXiv] 2025-11-17 | DiffFP: Learning Behaviors from Scratch via Diffusion-based Fictitious Play
[arXiv] 2025-11-17 | Real-time distortion prediction in metallic additive manufacturing via a physics-informed neural operator approach
[arXiv] 2025-11-17 | Stochasticity-induced non-Hermitian skin criticality
[arXiv] 2025-11-17 | Warm-starting active-set solvers using graph neural networks
[arXiv] 2025-11-17 | Bilayer B80 Structure: High Stability and Experimental Support for Existence
[arXiv] 2025-11-17 | TCM-5CEval: Extended Deep Evaluation Benchmark for LLM's Comprehensive Clinical Research Competence in Traditional Chinese Medicine
[arXiv] 2025-11-17 | A deep learning approach for predicting multiple observables in Au+Au collisions at RHIC
[arXiv] 2025-11-17 | InteractiveGNNExplainer: A Visual Analytics Framework for Multi-Faceted Understanding and Probing of Graph Neural Network Predictions
[arXiv] 2025-11-17 | Learning Process Energy Profiles from Node-Level Power Data
[arXiv] 2025-11-17 | Towards an anomaly detection pipeline for gravitational waves at the Einstein Telescope
[arXiv] 2025-11-17 | Conditional Diffusion Model for Multi-Agent Dynamic Task Decomposition
[arXiv] 2025-11-17 | Reidemeister torsion of two-bridge knots and signatures of TQFT
[arXiv] 2025-11-17 | Learning Implicit Neural Degradation Representation for Unpaired Image Dehazing
[arXiv] 2025-11-17 | DGS-Net: Distillation-Guided Gradient Surgery for CLIP Fine-Tuning in AI-Generated Image Detection
[arXiv] 2025-11-17 | Low-Level Dataset Distillation for Medical Image Enhancement
[arXiv] 2025-11-17 | Distributed Multisensor ISAC
[arXiv] 2025-11-17 | MergeSlide: Continual Model Merging and Task-to-Class Prompt-Aligned Inference for Lifelong Learning on Whole Slide Images
[arXiv] 2025-11-17 | MEV in Multiple Concurrent Proposer Blockchains
[arXiv] 2025-11-17 | Topological Phases in Non-Hermitian Nonlinear-Eigenvalue Systems
[arXiv] 2025-11-17 | Signatures of magnetism in zigzag graphene nanoribbon embedded in h-BN lattice
[arXiv] 2025-11-17 | Analysis of the hidden-charm pentaquark candidates in the $J/ψΞ$ mass spectrum via the QCD sum rules
[arXiv] 2025-11-17 | The B[e] Phenomenon in Supergiants. A Result of Mass Transfer in Binaries, Mergers, or What?
[arXiv] 2025-11-17 | Monocular 3D Lane Detection via Structure Uncertainty-Aware Network with Curve-Point Queries
[arXiv] 2025-11-17 | Unidirectional-Road-Network-Based Global Path Planning for Cleaning Robots in Semi-Structured Environments
[arXiv] 2025-11-17 | Full range of infinite point blow-up exponents for the critical generalized KdV equation
[arXiv] 2025-11-17 | Toward Conversational Hungarian Speech Recognition: Introducing the BEA-Large and BEA-Dialogue Datasets
[arXiv] 2025-11-17 | Automated Construction of Medical Indicator Knowledge Graphs Using Retrieval Augmented Large Language Models
[arXiv] 2025-11-17 | Stable Self- Similar Blow- Up In Nonlinear Wave Equations With Quadratic Time-Derivative Nonlinearities
[arXiv] 2025-11-17 | The Shape of Data: Topology Meets Analytics. A Practical Introduction to Topological Analytics and the Stability Index (TSI) in Business
[arXiv] 2025-11-17 | Modeling Spatial Synchronization of Predator-Prey Oscillations via the XY Model under Demographic Stochasticity and Migration
[arXiv] 2025-11-17 | Quantum Machine Learning via Contrastive Training
[arXiv] 2025-11-17 | On moduli of foliated surfaces
[arXiv] 2025-11-17 | PolicyBot - Reliable Question Answering over Policy Documents
[arXiv] 2025-11-17 | InterMoE: Individual-Specific 3D Human Interaction Generation via Dynamic Temporal-Selective MoE
[arXiv] 2025-11-17 | On the Capacity of Pixel Antenna based MIMO Communication
[arXiv] 2025-11-17 | A Lexical Analysis of online Reviews on Human-AI Interactions
[arXiv] 2025-11-17 | Semantic Document Derendering: SVG Reconstruction via Vision-Language Modeling
[arXiv] 2025-11-17 | Kähler-Ricci flows coming out of metric spaces
[arXiv] 2025-11-17 | AdamX: An Adam improvement algorithm based on a novel exponential decay mechanism for the second-order moment estimate
[arXiv] 2025-11-17 | A sharp commutator estimate for all Riesz modulated energies
[arXiv] 2025-11-17 | Contact-Safe Reinforcement Learning with ProMP Reparameterization and Energy Awareness
[arXiv] 2025-11-17 | Artificial Intelligence-Enabled Spirometry for Early Detection of Right Heart Failure
[arXiv] 2025-11-17 | How Hard is it to Explain Preferences Using Few Boolean Attributes?
[arXiv] 2025-11-17 | Characterizing Transfer Systems for Non-Abelian Groups
[arXiv] 2025-11-17 | Magnetic fields in the close neighborhood of LDN 328 core
[arXiv] 2025-11-17 | A Kawamata--Miyaoka type inequality for Fano varieties of arbitrary Picard number
[arXiv] 2025-11-17 | MMWSTM-ADRAN+: A Novel Hybrid Deep Learning Architecture for Enhanced Climate Time Series Forecasting and Extreme Event Prediction
[arXiv] 2025-11-17 | Mem-PAL: Towards Memory-based Personalized Dialogue Assistants for Long-term User-Agent Interaction
[arXiv] 2025-11-17 | On the Optimal Rate of Convergence for Translation-Invariant 1D Quantum Walks
[arXiv] 2025-11-17 | What Color Is It? A Text-Interference Multimodal Hallucination Benchmark
[arXiv] 2025-11-17 | Fault Oblivious Eigenvalue Solver
[arXiv] 2025-11-17 | Learning Cosmology from Nearest Neighbour Statistics
[arXiv] 2025-11-17 | Capabilities and limitations of pure-shear based macroscopic forming simulations for 0{\textdegree}/90{\textdegree} biaxial non-crimp fabrics
[arXiv] 2025-11-17 | Long-time asymptotics of the good Boussinesq equation and its modified version: Painlevé region
[arXiv] 2025-11-17 | Can Large Language Models Function as Qualified Pediatricians? A Systematic Evaluation in Real-World Clinical Contexts
[arXiv] 2025-11-17 | Log-Euclidean Lie Groups
[arXiv] 2025-11-17 | Dual-LoRA and Quality-Enhanced Pseudo Replay for Multimodal Continual Food Learning
[arXiv] 2025-11-17 | The Green ring of a restricted enveloping algebra in characteristic 2
[arXiv] 2025-11-17 | YOLO Meets Mixture-of-Experts: Adaptive Expert Routing for Robust Object Detection
[arXiv] 2025-11-17 | AHaSIS: Shared Task on Sentiment Analysis for Arabic Dialects
[arXiv] 2025-11-17 | Emergence of Multi-Scroll Attractors
[arXiv] 2025-11-17 | Congestionamento Aeroportuario, Escassez de Capacidade e Planejamento na Macrometropole Paulista
[arXiv] 2025-11-17 | SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents
[arXiv] 2025-11-17 | On the deep commuting graph of a finite group
[arXiv] 2025-11-17 | Polynomial invariants of cyclically ordered graphs
[arXiv] 2025-11-17 | Bosonisation Cohomology: Spin Structure Summation in Every Dimension
[arXiv] 2025-11-17 | Novel Stability Criteria for Discrete and Hybrid Systems via Ramanujan Inner Products
[arXiv] 2025-11-17 | Molecular Engineering for Enhanced Second-Order Nonlinear Response in Spontaneously-Oriented Evaporated Organic Films
[arXiv] 2025-11-17 | QUILL: An Algorithm-Architecture Co-Design for Cache-Local Deformable Attention
[arXiv] 2025-11-17 | Open-shell frozen natural orbital approach for quantum eigensolvers
[arXiv] 2025-11-17 | T-SAR: A Full-Stack Co-design for CPU-Only Ternary LLM Inference via In-Place SIMD ALU Reorganization
[arXiv] 2025-11-17 | Cost-Driven Synthesis of Sound Abstract Interpreters
[arXiv] 2025-11-17 | Graviton propagator in de Sitter space in a simple one-parameter gauge
[arXiv] 2025-11-17 | What's in a Software Engineering Job Posting?
[arXiv] 2025-11-17 | PhysX-Anything: Simulation-Ready Physical 3D Assets from Single Image
[arXiv] 2025-11-17 | Live-SWE-agent: Can Software Engineering Agents Self-Evolve on the Fly?
[arXiv] 2025-11-17 | FuseSampleAgg: Fused Neighbor Sampling and Aggregation for Mini-batch GNNs
[arXiv] 2025-11-17 | Subgame Perfect Methods in Nonsmooth Convex Optimization
[arXiv] 2025-11-17 | Towards Multimodal Representation Learning in Paediatric Kidney Disease
[arXiv] 2025-11-17 | Identifying Charged Lepton-like Portal Matter at Future Colliders
[arXiv] 2025-11-17 | Birack Bracket Quivers and Framed Links
[arXiv] 2025-11-17 | Modeling Quantum Noise in Nanolasers using Markov Chains
[arXiv] 2025-11-17 | Tissue Aware Nuclei Detection and Classification Model for Histopathology Images
[arXiv] 2025-11-17 | BIOMERO 2.0: end-to-end FAIR infrastructure for bioimaging data import, analysis, and provenance
[arXiv] 2025-11-17 | AtlasMorph: Learning conditional deformable templates for brain MRI
[arXiv] 2025-11-17 | Variance Stabilizing Transformations for Electricity Price Forecasting in Periods of Increased Volatility
[arXiv] 2025-11-17 | Universal Kernel Models for Iterated Completely Positive Maps
[arXiv] 2025-11-17 | Planar vector fields without invariant algebraic curves
[arXiv] 2025-11-17 | Physics-Informed Neural Networks for Nonlinear Output Regulation
[arXiv] 2025-11-17 | Power Homotopy for Zeroth-Order Non-Convex Optimizations
[arXiv] 2025-11-17 | A Fleeting GLIMPSE of N/O Enrichment at Cosmic Dawn: Evidence for Wolf Rayet N Stars in a z = 6.1 Galaxy
[arXiv] 2025-11-17 | High Resolution Observations of CO(3-2) in Haro 2: Cool Molecular Outflows of a Ly$α$ Emitter
[arXiv] 2025-11-17 | Evaluating and Scoring Ebolavirus Protein-protein Docking Models Using PIsToN
[arXiv] 2025-11-17 | Thermodynamics of the Fermi-Hubbard Model through Stochastic Calculus and Girsanov Transformation
[arXiv] 2025-11-17 | Calibration of Microscope-coupled Fourier Transform Infrared Spectrometers for CW and Modulated Light Emission Measurements
[arXiv] 2025-11-17 | Opt3DGS: Optimizing 3D Gaussian Splatting with Adaptive Exploration and Curvature-Aware Exploitation
[arXiv] 2025-11-17 | Identification of triadic phase coupling in wall-bounded turbulence using the bispectrum
[arXiv] 2025-11-17 | Exploring the experimental foundation with rupture and delayed rupture
[arXiv] 2025-11-17 | Access to Personal Data and the Right to Good Governance during Asylum Procedures after the CJEU's YS. and M. and S. judgment
[arXiv] 2025-11-17 | A monoidal category of dependently sorted algebraic theories I: syntax
[arXiv] 2025-11-17 | A Novel Hierarchical Integration Method for Efficient Model Merging in Medical LLMs
[arXiv] 2025-11-17 | Unbounded Radius of Innermost Stable Circular Orbit in Higher-Dimensional Black Holes
[arXiv] 2025-11-17 | A Note on Large Degenerate Induced Subgraphs in Sparse Graphs
[arXiv] 2025-11-17 | Are automated proof assistants ready for semigroup research? Orientation-preserving mappings and proof assistant Lean
[arXiv] 2025-11-17 | An elementary proof of the bunkbed conjecture for forests
[arXiv] 2025-11-17 | Complex Scalar Singlet Model: Electroweak Phase Transition and Gravitational Waves
[arXiv] 2025-11-17 | Self-Adaptive Graph Mixture of Models
[arXiv] 2025-11-17 | Sub-Solar Mass Intermediate Mass Ratio Inspirals: Waveform Systematics and Detection Prospects with Gravitational Waves
[ACM] 2025-11-17 | Optimal Strategy in the Werewolf Game: A Theoretical Study
[ACM] 2025-11-17 | Understanding Users' Privacy Perceptions Towards LLM's RAG-based Memory
[ACM] 2025-11-17 | FlexSFP: Rethinking Network Intelligence Inside the Cable
[ACM] 2025-11-17 | Rethinking Geolocalization on the Internet
[IEEE] 2025-11-17 | Large language model to support a diagnostic and roadmap prototype for Industry 4.0 technologies
[IEEE] 2025-11-17 | IC_ASET 2025 List Reviewer Page
[IEEE] 2025-11-17 | 2025 International Conference on Smart Energy and Smart Grid (SESG)
[IEEE] 2025-11-17 | Strategic Patenting and Technological Evolution in Energy Utilization and Recovery
[IEEE] 2025-11-17 | Welcome Message from the ITMS'2025 Chairs
[IEEE] 2025-11-17 | ISO/IEC/IEEE International Standard--Systems and software engineering--Life cycle management--Part 8: Technical reviews and audits on defense programs
[IEEE] 2025-11-17 | IsBad: Imperceptible Sample-Specific Backdoor to DNN With Denoising Autoencoder
[IEEE] 2025-11-17 | 3D vessel centerline extraction via vascular morphology driven adaptive deep reinforcement tracking
[IEEE] 2025-11-17 | Hierarchical Cross-Consistency Network based Unsupervised Domain Adaptation for Pathology Whole Slide Image Segmentation_supp1-3624582.pdf
[IEEE] 2025-11-17 | Lossy Beyond Diagonal Reconfigurable Intelligent Surfaces: Modeling and Optimization
[IEEE] 2025-11-17 | <i>Patch Matter</i>
                    : Dual Modality Patch Contrastive for Non-stationary Radio Signals
[IEEE] 2025-11-17 | Automated Parameterization of Errors in Additive Manufacturing Parts for Data Feedback in Digital Manufacturing Systems
[IEEE] 2025-11-17 | Fully Decentralized Data Distribution for Large-Scale HPC Systems
[IEEE] 2025-11-17 | High-Resolution and Multiple-Tone Microwave Frequency Measurement Based on Predefinable Optical Frequency Combs Utilizing a Dual-Polarization Dual-Drive Mach–Zehnder Modulator
[IEEE] 2025-11-17 | End-to-End Evaluation of the Int5Gent Platform: Integrating 5G Enabling Technologies in a Holistic Service to Physical Layer Platform
[IEEE] 2025-11-17 | Incremental DRL-Based Resource Management for Dynamic Network Slicing in an Urban-Wide Testbed
[IEEE] 2025-11-17 | Leveraging YOLO Models for Enhanced Object Detection and Recognition in E-Commerce
[IEEE] 2025-11-17 | Model-Centric Data Validation: A Feedback-Loop Approach to Dynamic Quality Control
[IEEE] 2025-11-17 | AI-Assisted Robotic Systems for Brain Tumor Biopsy Procedures
[IEEE] 2025-11-17 | A Customizable and Adaptive Audio System with Enhanced Sound Quality using DSP Processor
[IEEE] 2025-11-17 | Enhancing Energy Efficiency in Embedded Machine Learning Systems via Neuromorphic Architecture
[IEEE] 2025-11-17 | Hybrid Sentiment-Based Labeling for Automated Fake Review Detection in Marketplaces
[IEEE] 2025-11-17 | Predicting ESG disclosure in SMEs: a Neural Network Approach
[IEEE] 2025-11-17 | DrugTrace: Microwave-based Narcotics Detection System using RF Signature
[IEEE] 2025-11-17 | Lightweight Learning Chat Bot Using Sentence Embeddings for Contextual Similarity Matching
[IEEE] 2025-11-17 | Website Traffic Forecasting using Machine Learning
[IEEE] 2025-11-17 | Sign-Based Encryption-Enabled Reliable Data Communication for Mobile Ad Hoc Networks
[IEEE] 2025-11-17 | Lightweight Error-Correction Code Encoders in Superconducting Electronic Systems
[IEEE] 2025-11-17 | An Adaptive Voltage Control Method for Z-Source and Quasi-Z-Source DC-DC Converters
[IEEE] 2025-11-17 | Clustering-Informed Retrieval-Augmented Generation for LLM-Based Log Anomaly Detection
[IEEE] 2025-11-17 | DermAI: A Deep Learning-Based Mobile Application for Multi-type Skin Cancer Detection
[IEEE] 2025-11-17 | Design of an ALU with Vedic Multiplier for Enhanced Efficiency
[IEEE] 2025-11-17 | A Deep Learning Approach Using a Hybrid BERT-Transformer Model for Analyzing Digital Media
[IEEE] 2025-11-17 | Post-Quantum Attribute-Based Encryption: a Comprehensive Survey of Lattice-Based and Hybrid Approaches
[IEEE] 2025-11-17 | Comparing the Benefits of a Bio-Inspired Hardware Vs. GPU for a Self-Manuvering Task
[IEEE] 2025-11-17 | Quantifying and Mitigating Bias in GPT-Based Language Models
[IEEE] 2025-11-17 | Modelling and Optimization of Electric Vehicle Performances
[IEEE] 2025-11-17 | A 4.266 Gbps/pin LPDDR4X PHY with an Integrated RISC-V Subsystem Optimized for Large Bump Pitch in 12nm FinFET Technology
[IEEE] 2025-11-17 | An AI-Driven Approach for Predicting Prakriti in Ayurvedic Healthcare Using Machine Learning
[IEEE] 2025-11-17 | Time-Resolved Single-Photon Counting IC for Raman Imaging
[IEEE] 2025-11-17 | Limits of Large Language Models in Map Navigation and Spatial Reasoning
[IEEE] 2025-11-17 | Cycle-Accurate ML-Based Power Modeling for RISC-V Cores Using RTL Simulations
[IEEE] 2025-11-17 | A Comparative Study of Alzheimer Detection Techniques using Machine Learning and Deep Learning
[IEEE] 2025-11-17 | Deep Learning for Viral Genome Classification: A Comparative Analysis of LSTM and BERT Models
[IEEE] 2025-11-17 | A Computational Perspective on Cryptographic Models Using Prime Cordial Labeling
[IEEE] 2025-11-17 | VGG16-Based Hybrid Deep Learning Model for Furcation Involvement Detection with Early and Late Fusion Techniques
[IEEE] 2025-11-17 | IoT-Based Plant-Watering Robot for Greenhouse Seedling Cultivation
[IEEE] 2025-11-17 | A Sensor-Integrated System for Multi-Disaster Prediction Using Fuzzy Logic and Decision Tree Algorithms
[IEEE] 2025-11-17 | Fault-Tolerant Character Recognition in Neuromorphic Systems Using RRAM Crossbar Arrays
[ACM] 2025-11-17 | The Case for Crowd-Sourcing Communication to BLE-Only Devices
[ACM] 2025-11-17 | Faster-than-light coordination for networked systems with quantum non-local games
[ACM] 2025-11-17 | "I Apologize For Not Understanding Your Policy": Exploring the Evaluation of User-Managed Access Control Policies by AI Virtual Assistants
[ACM] 2025-11-17 | Beyond the Wall of Text: Exploring User-Centred Design for Privacy Notices
[ACM] 2025-11-17 | Gamified reflection: How interaction design shapes student engagement with prompts
[IEEE] 2025-11-17 | Practicalities to Communication Receiver for JSC Waveform: Whether to Filter or to Undersample?
[IEEE] 2025-11-17 | Antiferromagnetic Programmable Neuron: Structure, Training, and Pattern Recognition Applications
[IEEE] 2025-11-17 | An Adaptive Toolbox for Computing Throttling Rate Limits in Web APIs
[IEEE] 2025-11-17 | Hyperspectral Anomaly Detection Fused Unified Nonconvex Tensor Ring Factors Regularization
[IEEE] 2025-11-17 | ActiFormer: Sign-Aware Linear Attention for Sensor-Based Human Activity Recognition
[IEEE] 2025-11-17 | 2025 International Conference on Next Generation of Green Information and Emerging Technologies (GIET)
[IEEE] 2025-11-17 | Committees
[IEEE] 2025-11-17 | IC_ASET 2025 Cover Page
[IEEE] 2025-11-17 | ColCACI 2025 Committees
[IEEE] 2025-11-17 | Enhancing the Reliability of Back-to-Back Converters in Small Wind Turbines: A Comprehensive Robust Stability Study of NL-PI Control Under Extreme Operating Gusts
[IEEE] 2025-11-17 | Cross-Architecture Knowledge Distillation for Deep Joint Source-Channel Coding
[IEEE] 2025-11-17 | Enhanced Low-Damage Quantitative Hybrid Cyclic Etching for AlGaN/GaN Heteroepitaxy: Process Optimization and Device Performance Improvement
[IEEE] 2025-11-17 | Instrument SmartUsability - Complexity, Usability and AI-driven Educational Platform: Validation with Pilot Study
[IEEE] 2025-11-17 | Application of PPM in software development small firms &amp;#x2013; A multiple case study based on Peruvian firms_supp1-3632864.pdf
[IEEE] 2025-11-17 | Adaptive progressive Transformer-based trajectory prediction under fine-grained trajectory-scene interaction constraint
[IEEE] 2025-11-17 | Class Distribution Mismatch-Aware Debiasing for Semi-Supervised Partial Discharge Diagnosis in Gas-Insulated Switchgear
[IEEE] 2025-11-17 | Enhancing Mental Health by Stress Monitoring using Smart Wearable Technology
[IEEE] 2025-11-17 | An Integrated GRU-ACO Framework for Forecasting and Optimal Energy Routing in Isolated DC Nanogrids
[IEEE] 2025-11-17 | Reliability Assessment of Deregulated Power Systems Considering Demand Response and Energy Storage
[IEEE] 2025-11-17 | Statistical Analysis of sEMG-Derived Features for Differentiating Muscle Fiber Types Using Time, Frequency and Time-Frequency Domain Metrics An Investigation
[IEEE] 2025-11-17 | Evaluation of Sliding Mode Control and fuzzy-PI control of the Doubly Fed Induction Generator
[IEEE] 2025-11-17 | An IOT and Cloud Computing-Based Traffic Management System
[IEEE] 2025-11-17 | Image Enhancement for AI and ML
[IEEE] 2025-11-17 | Prediction and Analysis of Cardiac Related Diseases Using Machine Learning Algorithms
[IEEE] 2025-11-17 | Leveraging Hybrid AI Models for Early Detection of Brain Tumors in MRI Scans
[IEEE] 2025-11-17 | Application and Optimization of Association Rule Mining Algorithm in the New Business Digital Intelligence Practice Platform
[IEEE] 2025-11-17 | Robust Backstepping Approach for Quadrotor Attitude and Altitude Control
[IEEE] 2025-11-17 | Modeling and Control of a Boiling Water Small Modular Reactor Cogeneration System for District Heating Applications
[IEEE] 2025-11-17 | Optimizing Load Forecasting for Electric Vehicles (EVs) Using AI-Based Models: A Data-Driven Approach
[IEEE] 2025-11-17 | Model-Driven Generation of Executable Models for Hardware Specification Validation
[IEEE] 2025-11-17 | Systolic Array for Neural Network Acceleration
[IEEE] 2025-11-17 | Blockchain-Based Secure Architecture for Distributed Healthcare Data in IoMT
[IEEE] 2025-11-17 | Enhancing Disaster Management through Dronebased Technology and Deep Learning Approaches for Monitoring and Detection
[IEEE] 2025-11-17 | Payment Interface Using Iris Recognition
[IEEE] 2025-11-17 | Cybersecurity Framework for ICS: Integrating Digital Twins and Machine Learning Approaches
[IEEE] 2025-11-17 | Smart Structural Strengthening of RCC Beams Using GFRP Wraps and IoT-Based Flexural Monitoring
[IEEE] 2025-11-17 | Phasor Modeling of Grid Forming Inverters Considering Fault Ride Through Mechanism for Large-Signal and Steady State Studies
[IEEE] 2025-11-17 | Risk Assessment and Curtailment Expectations for Connecting Renewables to the Bulk System
[ACM] 2025-11-17 | Unambiguous, Randomized, and Symmetric Catalytic Computation
[IEEE] 2025-11-17 | FMQS: Enabling Fast Multimedia Data Queries in Edge Storage Systems
[IEEE] 2025-11-17 | A Privacy-Preserving Approach for Joint Carbon Reduction and Emission Allowance Trading Based on Secure Multi-Party Computation
[IEEE] 2025-11-17 | Learning to Equalize: Data-Driven Frequency-Domain Signal Recovery in Molecular Communications
[IEEE] 2025-11-17 | Vision-Aided ISAC in Low-Altitude Economy Networks via De-Diffused Visual Priors
[IEEE] 2025-11-17 | Fixed-Time Sensor Fault Detection Observer With Actuator Fault Decoupling for Attack-Free Consensus Systems
[IEEE] 2025-11-17 | Cognitive Control Units in Smart Manufacturing: Insights from a Soar-Based Assistance System
[IEEE] 2025-11-17 | A General Approach to Path Planning Within C-Space Safe Corridors_supp1-3632746.mp4
[IEEE] 2025-11-17 | Empirical Calibration and Metric Differential Privacy in Language Models
[IEEE] 2025-11-17 | Private Linear Computation: Algorithms, Performance Limits, and Applications to Machine Learning
[IEEE] 2025-11-17 | Mobility-Aware Resource Provisioning for Edge-Assisted Extended Reality Services
[IEEE] 2025-11-17 | A Novel Data-driven Lightweight Optimization Method based on Meta-structure of CNC Machine Tool
[IEEE] 2025-11-17 | A Hierarchical Cooperative Authentication Protocol for Attack-Resilient UAV Swarms with Ultra-Low Overhead
[IEEE] 2025-11-17 | Global and Local Sensitivity Analysis Applied to Electric Motor Design by Polynomial Chaos Expansion
[IEEE] 2025-11-17 | A Hybrid and Distributed Access Integration for SMR Disks
[IEEE] 2025-11-17 | Augmented Capacity Market Design Including Demand Response, Import and Transmission Capacity Enhancement
[IEEE] 2025-11-17 | Automated Level Generation Using Depth First Search Algorithm in Confined Space
[IEEE] 2025-11-17 | Enhancing Agricultural Yield Prediction Using Support Vector Machines and Multi-Layer Perceptron
[IEEE] 2025-11-17 | An Empirical Analysis on the Wildfire Ignitions in Australia using Machine Learning Techniques
[IEEE] 2025-11-17 | Bit Transition Reduction by Data Transmission Ordering in NoC-based DNN Accelerator
