[2025-12-07 09:09:03] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-06
正在获取论文...
[ACM] 2025-12-6 | Are Your LLM-based Text-to-SQL Models Secure? Exploring SQL Injection via Backdoor Attacks
[ACM] 2025-12-6 | An Empirical Study on the Segmentation of Learning Characteristics about Higher Vocational Students Based on Learning Burnout
[ACM] 2025-12-6 | Research on the Spatial-Temporal Characteristics and Influencing Factors of the Coupling and Coordination Level between High-Quality Education Development and Common Prosperity in Ethnic Minority Areas
[ACM] 2025-12-6 | An Interpretable, Multi-Source Learning Analytics Model for Medical Laboratory Skill Assessment: A Case Study in Gram Staining
[ACM] 2025-12-6 | In-Sensor Real-Time 3D Surface Reconstruction via Parallel Morphological Computing Using Linear Laser
[ACM] 2025-12-6 | Proceedings of the SIGGRAPH Asia 2025 Art Gallery
[ACM] 2025-12-6 | AKIEF: Adaptive Knowledge Inheritance Evolutionary Framework for Dynamic Privacy-Preserving Data Publishing
[ACM] 2025-12-6 | NamingCAD: A Naming Method for Unique Identification toward CAD Modeling Learning
[ACM] 2025-12-6 | Behavior Conditional Diffusion Model for Multi-Modal Recommendation
[ACM] 2025-12-6 | Detecting Logic Bugs in DBMSs via Equivalent Data Construction
[ACM] 2025-12-6 | MFNet: A Deep Learning Method for Urban Perception Evaluation Using Street View Images
[ACM] 2025-12-6 | Sketch-1-to-3: One Single Sketch to 3D Detailed Face Reconstruction
[ACM] 2025-12-6 | A Study on Task-Based English Teaching Design in Higher Education Based on Large Language Models
[ACM] 2025-12-6 | The development technology of school-based curriculum in natural history museums based on artificial intelligence
[ACM] 2025-12-6 | Reconstructing Higher Education Models in Art and Design Under AIGC and Deep Learning
[ACM] 2025-12-6 | Innovative Exploration of On-site Engineer Training Mode Guided based on Embodied STEM Concepts and Neural Network Analysis
[ACM] 2025-12-6 | AL-SSFGait: A Dual-Branch Framework with Aligned Silhouette-Skeleton for Gait Recognition
[ACM] 2025-12-6 | Contracted Gram Tensor Distillation for Object Detection
[ACM] 2025-12-6 | When Hallucinated Concepts Cross Modals: Unveiling Backdoor Vulnerability in Multi-modal In-context Learning
[ACM] 2025-12-6 | SELECT: Detecting Label Errors in Real-world Scene Text Data
[ACM] 2025-12-6 | Visualization-Oriented Progressive Time Series Transformation
[ACM] 2025-12-6 | BPI: A Novel Efficient and Reliable Search Structure for Hybrid Storage Blockchain
[ACM] 2025-12-6 | VICINO. Generative expressions of proximity, rhythm, and unspoken connections
[ACM] 2025-12-6 | Machine Civilization
[ACM] 2025-12-6 | Ecovotive Chimeras
[ACM] 2025-12-6 | Alternative Past
[ACM] 2025-12-6 | Leveraging Educational Informatization for Mental Health Service Innovation: An ACT-Based Digital Intervention Model in Adolescents with OCD
[ACM] 2025-12-6 | Research on the Construction of Ability Portrait of Highly Skilled Talents Based on Knowledge Graph and AI Personalized Training Path Planning
[ACM] 2025-12-6 | Query-Aware Path Inference from Spatial Videos
[ACM] 2025-12-6 | Adaptive Sharding in Untrusted Environments
[ACM] 2025-12-6 | Towards Inclusive Gendered Embodiment: Designing AI Agents Based on Sociological Gender Theories
[ACM] 2025-12-6 | Multimodal Hyperbolic Embedding and Hyperbolic Hypergraph Fusion for Emotion Recognition in Conversation
[ACM] 2025-12-6 | Can Multimodal Large Language Models Understand Human Values in Videos?
[ACM] 2025-12-6 | SeeingSounds: Learning Audio-to-Visual Alignment via Text
[ACM] 2025-12-6 | DSGV: Efficient Video Representation and Compression through Dynamic-Static 2D Gaussian Splatting
[ACM] 2025-12-6 | BALANCE: A Fairness-Aware Framework for Privacy-Preserving Synthetic Clinical Text Generation
[ACM] 2025-12-6 | Encoding Music Score Data for Emotional Expression Prediction in Western Classical Music Pieces
[ACM] 2025-12-6 | ACGraph: An Efficient Asynchronous Out-of-Core Graph Processing Framework
[ACM] 2025-12-6 | Scalable Graph Indexing using GPUs for Approximate Nearest Neighbor Search
[ACM] 2025-12-6 | Estimating Biclique Counts with Accuracy Guarantees
[ACM] 2025-12-6 | Multi-Agent Collaborative Intervention System Based on Reinforcement Learning Dynamic Path Planning in Lifelong Education
[ACM] 2025-12-6 | Exploration of the Application of AI-Enabled O-PIRTAS Blended Teaching in the Unmanned System Countermeasures Series Courses
[ACM] 2025-12-6 | TOVect: Topology-Optimized Vectorization for Intangible Cultural Heritage Thangka Element Line Art
[ACM] 2025-12-6 | Prefix-Guided Adaptation of Pretrained Segmenter for RGB-D Indoor Panoptic Segmentation
[ACM] 2025-12-6 | MultiSensor-Home: Benchmark for Multi-modal Multi-view Action Recognition in Home Environments
[ACM] 2025-12-6 | Toward a Rehabilitation Game Model Using a Brain-Computer Interface for Older Adults with Mild Dementia
[ACM] 2025-12-6 | Stance-Driven Multimodal Controlled Statement Generation: New Task and Dataset
[ACM] 2025-12-6 | One-shot Multimodal Federated Learning via Diverse Synthetic Feature Optimization
[ACM] 2025-12-6 | Amodal-KAN: The First Look at Kolmogorov-Arnold Network for Amodal Instance Segmentation
[ACM] 2025-12-6 | Task-Aware Federated Multi-Task Learning
[ACM] 2025-12-6 | OPCap:Object-aware Prompting Captioning
[ACM] 2025-12-6 | Zero-Shot Speech Recognition from Text-Only Data through Synthesized Spectrogram Refinement Using Style Truncation and Contextual Alignment Loss
[ACM] 2025-12-6 | <scp>Burr:</scp>
                    A Benchmark for Ontology Learning from Relational Databases
[ACM] 2025-12-6 | DRPQ: Distributed Evaluation of Regular Path Queries On Streaming Graphs
[ACM] 2025-12-6 | Efficient Approximate Nearest Neighbor Search via Hemi-Sphere Centroids Graph
[ACM] 2025-12-6 | SRS: Detecting Logic Bugs of Join Implementation in DBMSs via Set Relation Synthesis
[ACM] 2025-12-6 | Empirical Optimization of Cross-Border E-Commerce Curriculum Using K-Means Learner Profiling and Random Forest Importance Ranking
[ACM] 2025-12-6 | Research on chain intermediary model of collaborative education in practice education base based on BERT and multi-source data fusion
[ACM] 2025-12-6 | Analysis of the Dual Empowerment Pathways of AIGC Technology in the Teaching Reform of New Media Operations Courses
[ACM] 2025-12-6 | Multimodal Sentiment Analysis with Contrastive Constraint Propagation
[ACM] 2025-12-6 | APQO: An Adaptive Framework for Parametric Query Optimization
[ACM] 2025-12-6 | Approximate Query Processing under Updates
[ACM] 2025-12-6 | Query Optimization for Database-Returning Queries
[ACM] 2025-12-6 | Educational Financial Efficiency of Higher Vocational Colleges with Double High-level Plan in Beijing, Tianjin and Hebei
[ACM] 2025-12-6 | Application-oriented undergraduate institutions' path innovation and practice exploration of e-commerce talent training based on big data mining and prediction
[ACM] 2025-12-6 | Guiding Image Super-Resolution with Adaptive Residual Scaling
[ACM] 2025-12-6 | FedART: Enhancing Replay in Federated Incremental Learning
[ACM] 2025-12-6 | What Really Matters for Learning-based LiDAR-Camera Calibration
[ACM] 2025-12-6 | Don't Break the Melody: Encouraging Accurate Handwriting Practice with Sound Feedback
[ACM] 2025-12-6 | Leveraging Cross-Directional Dependency in Realtime Interactive Streaming
[ACM] 2025-12-6 | SILLM4Rec: Self-Improving with Chain of Thought Enhanced Preference Optimization for Multimodal Recommendation
[ACM] 2025-12-6 | TriDet-MLLM: Triple-Feature Fusion Prompt Learning for AI-Generated Image Detection
[ACM] 2025-12-6 | WoW: A Window-to-Window Incremental Index for Range-Filtering Approximate Nearest Neighbor Search
[ACM] 2025-12-6 | On / Off
[ACM] 2025-12-6 | Intelligent Assessment of STEM EMI Course Quality Using Hopfield Neural Networks
[ACM] 2025-12-6 | AI Technology Empowering Teaching Innovation in Civil Engineering at Local Universities: Practical Exploration in the Concrete Structure Design Course
[ACM] 2025-12-6 | Research on a Moral Education Evaluation System for College Students Based on Cognitive Development Theory and DeepSeek
[ACM] 2025-12-6 | DriveEval-Agent: A Closed-Loop Framework Combining Zero-Shot Benchmarking and Full Fine-Tuning for Multimodal Autonomous Driving
[ACM] 2025-12-6 | Dual-Space Adaptive Fusion for Self-supervised Text-guided Image Editing
[ACM] 2025-12-6 | Dual-View Gradient Probes: Disentangling Uncertainty for Deep Active Learning
[ACM] 2025-12-6 | AVIR: Adaptive Visual In-Document Retrieval for Efficient Multi-Page Document Question Answering
[ACM] 2025-12-6 | Extending Pretrained Diffusion Models for Medical Image-Label Generation
[ACM] 2025-12-6 | Dynamic decision-making algorithm for college students' full cycle career orientation: modeling of full cycle development and research on precise career orientation guidance path
[ACM] 2025-12-6 | SEFRQO: A Self-Evolving Fine-Tuned RAG-Based Query Optimizer
[ACM] 2025-12-6 | Integrating Vector Databases across Embedding Models
[ACM] 2025-12-6 | High Performance or Low Memory? An Updatable Learned Index Framework for Time-Space Tradeoff
[ACM] 2025-12-6 | 3dSAGER: Geospatial Entity Resolution over 3D Objects
[ACM] 2025-12-6 | GeoKGM: A Multimodal Large Language Model for Zero-Shot Knowledge Graph Completion in Geospatial Databases
[ACM] 2025-12-6 | P
                    <sup>2</sup>
                    FedRec: Towards Privacy-Preserving and Personalized Federated Recommendation via Relationship Awareness
[ACM] 2025-12-6 | Construction of Teaching Evaluation Model Based on Deep Learning: Mapping Mechanism from Behavioral Data to Capability Portrait
[ACM] 2025-12-6 | Research on the Construction of New Media Teaching Resources Recommendation Model of Ideological and Political Course Based on User Behavior Analysis
[ACM] 2025-12-6 | EliGen: Entity-Level Controlled Image Generation with Regional Attention
[ACM] 2025-12-6 | Hops Can be Constrained: Efficient Distance Queries on Large Time-Dependent Road Networks
[ACM] 2025-12-6 | Analysis and Evaluation of Using Microsecond-Latency Memory for In-Memory Indices and Caches in SSD-Based Key-Value Stores
[ACM] 2025-12-6 | Efficient Defective Clique Enumeration and Search with Worst-Case Optimal Search Space
[ACM] 2025-12-6 | Artificial Intelligence Enhanced Integration of Art Education and Cultural Tourism for Student Engagement Improvement through PLS-SEM and IPMA
[ACM] 2025-12-6 | Application of Self-Sovereign Identity in the Higher Education Institutions
[ACM] 2025-12-6 | Research on Visual Learning Platform for Database Principles Knowledge Points Integrating Knowledge Graph and Deep Learning
[ACM] 2025-12-6 | AS-UAP:Attention-Shift Universal Adversarial Perturbation on Transformer-based Models
[ACM] 2025-12-6 | Community Detection with the Map Equation and Infomap: Theory and Applications
共写入 373 条记录，保存到 papers/paper2025-12-06.json。
论文获取成功，文件路径: papers/paper2025-12-06.json
正在筛选、翻译并发送邮件...
[YES] 1/373 | Are Your LLM-based Text-to-SQL Models Secure? Exploring SQL Injection via Backdoor Attacks
[NO] 2/373 | LLM-Powered Interactive Graph Search: A Scalable and Practical Approach
[NO] 3/373 | AgentTune: An Agent-Based Large Language Model Framework for Database Knob Tuning
[NO] 4/373 | High-Throughput, Cost-Effective Billion-Scale Vector Search with a Single GPU
[NO] 5/373 | Unifying Generative Self-Supervised Paradigms with Diffusion Models
[NO] 6/373 | Biometric-Based Recovery Mechanism for Blockchain-Based Wallet
[NO] 7/373 | You Are Out of My Focus: A Defocus-Blur Backdoor Attack against Deep Learning Models
[NO] 8/373 | MCTG: A Multimodal Self-Supervised Contrastive Learning Framework Based on CTG
[NO] 9/373 | MCIHN: A Hybrid Network Model Based on Multi-path Cross-modal Interaction for Multimodal Emotion Recognition
[NO] 10/373 | Neural MONOBLOC Black
[NO] 11/373 | Near-Linear Runtime for a Classical Matrix Preconditioning Algorithm
[NO] 12/373 | Empowering bilingual interpreters with AI tools in multi-lingual interpreting training: insights into AI-assisted interpreting training and assessment
[NO] 13/373 | Reconstruction and Implementation of the Artificial Intelligence Curriculum System Based on “Project-driven” from the Perspective of New Quality Productivity
[NO] 14/373 | Research on the Intelligent Learning Path of University Computer Basic Courses from the Perspective of AI
[NO] 15/373 | TranSQL
                    <sup>+</sup>
                    : Serving Large Language Models with SQL on Low-Resource Hardware
[NO] 16/373 | Research on the Construction of Dynamic Matching Matrix and Its Adaptation to Educational Scenarios from the Perspective of Cognitive Symbiosisc
[NO] 17/373 | Construction and Secondary Optimization of a Voltage Quality Control Knowledge Graph Based on Large Language Models
[NO] 18/373 | GDPR Constraints on AI-Generated Music: Privacy Protection Challenges in Training Data
[NO] 19/373 | Construction and Practice of an AIoT Practical Course Based on Agile Teaching Methodology
[NO] 20/373 | An Evaluation of Open Source Data Anonymisation Tools for Medical Data
[NO] 21/373 | SynSpeech: A Dataset and Benchmark for Fake Speech Detection
[NO] 22/373 | DS-IB Net: Ultra-Lightweight Weakly-Supervised Video Anomaly Detection through Synergistic Dual Streams and Information Bottleneck
[NO] 23/373 | CSSA-Fusion: Channel Selective and Spatial Alignment Infrared-Visible Image Fusion
[NO] 24/373 | Mitigating Hallucinations in Large Vision-Language Models via Dual Contrastive Decoding
[NO] 25/373 | Gradient Shaping Beyond Clipping: A Functional Perspective on Update Magnitude Control
[NO] 26/373 | Multi-contrastive Regularization for Single Image Portrait Relighting
[NO] 27/373 | Brook-2PL: Tolerating High Contention Workloads with A Deadlock-Free Two-Phase Locking Protocol
[NO] 28/373 | Multi-Task Learning with Adaptive Fusion for Point-of-Interest Recommendation
[NO] 29/373 | Hint-Guided Video Frame Interpolation for Video Compression
[NO] 30/373 | Dual-Branch Feature Modeling and Multi-Directional Motion Perception for Video Compression
[NO] 31/373 | Hybrid Mamba-Transformer Model for Lightweight Image Super-Resolution
[NO] 32/373 | Distortion-Aware Network for Zero-Reference Retinal Image Enhancement
[NO] 33/373 | Joint Optimization for Image Compression and Deblurring via Blur-Aware Guidance
[NO] 34/373 | SAFE-AKT: Kazakh Image-Text Retrieval via Semantic-Agnostic Feature Enhancement and Adaptive Knowledge Transfer
[NO] 35/373 | InstructTrack: Language-Guided Multi-Object Tracking with Semantic-Aware Association
[NO] 36/373 | Design of Public Physical Education Curriculum Management System Based on Blockchain Technology
[NO] 37/373 | Reorienting OOP Curriculum: From Knowledge-Centric Projects to Agentic AI-Driven Problem Solving
[NO] 38/373 | RABIT: Efficient Range Queries with Bitmap Indexing
[NO] 39/373 | Lookup Table-based Computing: A Survey from Software Implementations to Hardware Architectures
[NO] 40/373 | NeuroSwift: A Lightweight Cross-Subject Framework for fMRI Visual Reconstruction of Complex Scenes
[NO] 41/373 | Federated Deep Incomplete Multi-View Clustering with Heterogeneity-Matching and Attention-Based Imputation
[NO] 42/373 | Gloss-Free Sign Language Translation With Optical-Flow Guided Two-Stream Network
[NO] 43/373 | Phoneme-Controlled LLM with Self-Supervised Speech Prompts for Mispronunciation Detection
[NO] 44/373 | DualCap: Enhancing Lightweight Image Captioning via Dual Retrieval with Similar Scenes Visual Prompts
[NO] 45/373 | An Empirical Study on the Coupling Coordination between the Disciplinary Structure of Higher Education and the Industrial Structure in China
[NO] 46/373 | Design and Implementation of an Intelligent Student Attendance Management System
[NO] 47/373 | Research on the Architecture of Virtual Training Education Platform Enabled by Artificial Intelligence Technology
[NO] 48/373 | Path Analysis of University Teachers’ Digital Literacy Enhancement Based on Deep Learning: A Perspective of Sports and Arts Integration
[NO] 49/373 | Research on Student Behavior Analysis and Prediction in Vocational Colleges Based on Multi-source Data Mining
[NO] 50/373 | Gem: Scalable Monotonic Graph Processing Beyond Billion-Scale on a Single Machine
[NO] 51/373 | Hold-Me-Tight
[NO] 52/373 | Machine Learning-Based Evaluation and Empirical Research on the Teaching Quality and Satisfaction of Online Course in Higher Education: A Case Study of College English Course
[NO] 53/373 | ECTSpeech: Enhancing Efficient Speech Synthesis via Easy Consistency Tuning
[NO] 54/373 | Speech Emotion Recognition via Multi-Level Acoustic Modeling and Cross-Modal Temporal Fusion
[NO] 55/373 | Animating the Ephemeral: Transforming Edible Cultural Heritage into Dynamic Digital Heritage through AI and Mixed Reality
[NO] 56/373 | Multi-modal Recommendation with Joint Content and Interaction Augmentation
[NO] 57/373 | DiskJoin: Large-scale Vector Similarity Join with SSD
[NO] 58/373 | Dynamically Detect and Fix Hardness for Efficient Approximate Nearest Neighbor Search
[NO] 59/373 | <scp>MCTuner:</scp>
                    Spatial Decomposition-Enhanced Database Tuning via LLM-Guided Exploration
[NO] 60/373 | WaveStitch: Flexible and Fast Conditional Time Series Generation With Diffusion Models
[NO] 61/373 | PENFORMER: Identifying Signature Truth with Log Normal Aided Multimodal Transformer
[NO] 62/373 | Dynamic Text-guided Multi-task Transformer for Multi-modal Sentiment Analysis
[NO] 63/373 | Interactive Educational System Using Artificial Intelligence Technique for the Higher Education System
[NO] 64/373 | A Triad Evaluation Framework for Human vs. Machine Translation Quality in Museum Heritage Dissemination
[NO] 65/373 | A new dataset and method for comprehensive evaluation of visual design elements in educational slides
[NO] 66/373 | FALU: A Proactive Deepfake Detection Scheme Based on Average Hashing and Mamba-Like Linear Attention U-Net
[NO] 67/373 | FabasedVC: Enhancing Voice Conversion with Text Modality Fusion and Phoneme-Level SSL Features
[NO] 68/373 | DCN: Decoupled-Coupled Network for Text-based Person Search
[NO] 69/373 | Intrinsic Feature Rectification: Mitigating RAG Dependency by Addressing Information Loss in Image Captioning
[NO] 70/373 | Theoretically and Practically Efficient Maximum Biclique Search
[NO] 71/373 | Research on the Educational Innovation System Empowering the Construction of “Beautiful Sichuan” with Ethnic Ecological Culture
[NO] 72/373 | Guài: Generative Myths of Machine Perception
[NO] 73/373 | An AI-Enhanced Dynamic Assessment Framework for Blended Learning: Algorithm Design and Optimization in College English Teaching
[NO] 74/373 | Structural Equation Modeling of AI Tool Use and Chinese Language Habits
[NO] 75/373 | Algorithm Optimization and Implementation of Intelligent Scoring System for College English Translation
[NO] 76/373 | Enhancing Career Decision-Making Self-Efficacy Through Blended Learning: An Integrated Course Design with Random Forest Regression Algorithm
[NO] 77/373 | SAAB: Enhancing Action Segmentation via Spatial Attention Pooling and Action-Background Classifier
[NO] 78/373 | Breaking Distributional Assumptions in Multi-view Learning: Test-Time Adaptive Fusion via Conformalized Evidence Representation
[NO] 79/373 | Inter-Patient Arrhythmia Classification via Cloud-Edge-End Multimedia Architecture
[NO] 80/373 | Towards Better Detection in the Rain: A Task-Driven Deraining Framework with Semantic Guidance
[NO] 81/373 | Global Question-Aware Multimodal Retrieval-Augmented Generation for Multimedia Multi-Hop Question Answering
[NO] 82/373 | Edge-Computing Thermal Object Detection with Homography-Augmented Data for Night Navigation
[NO] 83/373 | Pla-tsugi: Terrain as Fracture
[NO] 84/373 | CharCom: Composable Identity Control for Multi-Character Story Illustration
[NO] 85/373 | Single Image Dehazing Network Based on Depth-Guided Sparse Attention
[NO] 86/373 | KeyRegionPose: Region-Aware Feature Interaction and Multi-Scale Token Pruning for Efficient Human Pose Estimation
[NO] 87/373 | Understanding and Detecting Query Performance Regression in Practical Index Tuning: [Experiments &amp; Analysis]
[NO] 88/373 | Regular Expression Indexing for Log Analysis
[NO] 89/373 | Research on the Application of Decision Tree Algorithm in Public Physical Education Practice Teaching
[NO] 90/373 | Research on Personalised Learning Resource Recommendation Method Based on Graph Convolution
[NO] 91/373 | A General Framework for Per-record Differential Privacy
[NO] 92/373 | PrivAGS: Differentially Private Attributed Graph Synthesis
[NO] 93/373 | Research on the Application of Machine Learning Technology in the Quality Assessment of Standardized Talent Cultivation in Vocational Education
[NO] 94/373 | The Strategic Decision-making Logic of Education Entrepreneurs in Digital Transformation
[NO] 95/373 | Cloth-Changing Person Re-identification with Human Keypoint Prediction
[NO] 96/373 | Pseudo-Partial Label Helps: A Simple Way to Mitigate Pseudo-Label Noise in Source-Free Domain Adaptation
[NO] 97/373 | Bi-affine Semantic Fusion Generative Adversarial Networks for Text-to-Image Synthesis
[NO] 98/373 | DAG of DAGs: Order-Fairness Made Practical
[NO] 99/373 | Beyond Vector Search: Querying With and Without Predicates
[NO] 100/373 | Counting Is All You Need for Instant Tuple Discovery: Enabling Real-Time HTAP in Standalone DBMSs
[NO] 101/373 | AixelNet: A Pre-trained Model with Table-aware Adaptation for Structured Data Prediction
[NO] 102/373 | Interdisciplinary Knowledge Graph-Driven STEM Teacher Assistant Agent: Model Construction and Evaluation
[NO] 103/373 | How Much To Guide: Revisiting Adaptive Guidance in Classifier-Free Guidance Text-to-Vision Diffusion Models
[NO] 104/373 | Learning Content-enhanced Tokens for Domain Generalized Semantic Segmentation
[NO] 105/373 | MS²G-Net: A Multi-Scale and Multi-Structural Guided Network for Information-Preserving Restoration of Ancient Murals
[NO] 106/373 | Time Step Generating: A Universal Synthesized Deepfake Image Detector
[NO] 107/373 | Learn Concepts from Multi-Scale Visual Information for Compositional Zero-Shot Learning
[NO] 108/373 | Cloud Scripts
[NO] 109/373 | Machine Dreaming
[NO] 110/373 | Proceedings of the 2025 International Conference on AI-enabled Education
[NO] 111/373 | Polarization Distribution: The Phased Regional Distribution Pattern of Artificial Intelligence Innovation Resources in Universities
[NO] 112/373 | Frequency-Enhanced Multi-Modal Consistency Learning for Audio-Visual Deepfake Detection
[NO] 113/373 | Test-time Filtering Boosts Training-free Zero-shot Composed Image Retrieval
[NO] 114/373 | A Visual Speech Language Model for Visual Text-to-Speech Task
[NO] 115/373 | Enhancing Low-Light Object Detection with Zero-Shot Dual-Branch Illumination-Invariant Network
[NO] 116/373 | You Can Generate It Again: Data-to-Text Generation with Verification and Correction Prompting
[NO] 117/373 | UniStream: Unifying In-Network Video Processing and Caching for Cost-Optimal Edge-Cloud Video Streaming
[NO] 118/373 | MM-HRIViT: Early Behavior Prediction for HRI using mmWave Radar and a Vision Transformer
[NO] 119/373 | Triangle Counting in Hypergraph Streams: A Complete and Practical Approach
[NO] 120/373 | NeuSO: Neural Optimizer for Subgraph Queries
[NO] 121/373 | GraphMatch: Subgraph Query Processing on Steroids
[NO] 122/373 | CCANet : A Cognition-Inspired Framework for Few-Shot Segmentation from Category-Agnostic to Category-Aware
[NO] 123/373 | Robust speech emotion recognition using conditional transformer-based architecture
[NO] 124/373 | An Interactive Drawing Assistant Harmonizing User Control and Creative Freedom in Image Generation
[NO] 125/373 | Time-IC: Empowering MLLM with Interleaved Context for Temporal-Sensitive Video Understanding
[NO] 126/373 | Joint Fine-grained Disentanglement and Modal-agnostic Fusion Multi-task Framework for Multimodal Sentiment Analysis
[NO] 127/373 | Benchmarking Differentially Private Tabular Data Synthesis: [Experiments &amp; Analysis]
[NO] 128/373 | LSM-Raft: Optimizing Raft for LSM-tree Store
[NO] 129/373 | Enhancing Critical Thinking: Interactive Cognitive Offload Instruction with Generative AI In English Essay Writing
[NO] 130/373 | Experiences and Insights Gained from AI-Assisted Programming Instruction in Higher Education
[NO] 131/373 | A study on the influence of teacher autonomy support on students' preferences for courses: based on the perspectives of machine learning and Quasi-Experimental Designs
[NO] 132/373 | Retrieve-and-Verify: A Table Context Selection Framework for Accurate Column Annotations
[NO] 133/373 | Teachers’ Digital Literacy in Computer Technology Integration: Comparative Insights, AI Implications, and Practical Implementation Pathways
[NO] 134/373 | AixelAsk: A Stepwise-Guided Retrieval and Reasoning Framework for Large Table QA
[NO] 135/373 | SplineSketch: Even More Accurate Quantiles with Error Guarantees
[NO] 136/373 | Co-Designer: A Human-AI Collaborative Framework for Deriving Physical Product Concept Design Opportunities from User-Generated Content(UGC) in Manufacturing
[NO] 137/373 | Mixture of Group Experts for Learning Invariant Representations
[NO] 138/373 | From Feature Alignment to Multimodal Fusion: A Two-Stage Primary Modality-Guided Approach for MSA
[NO] 139/373 | From Suspicious Errors to Valid Data: On Repairing Spatio-Temporal Data via Spatial and Temporal Dependencies
[NO] 140/373 | Accelerating High-Dimensional ANN Search via Skipping Redundant Distance Computations
[NO] 141/373 | PLForge: Enhancing Language Models for Natural Language to Procedural Extensions of SQL
[NO] 142/373 | Design and Application Research of Intangible Cultural Heritage Sports Projects Enabled by Digital Intelligence Empowered Sports Tourism APP
[NO] 143/373 | Research on Ideological and Political Education Effect Evaluation Model Based on Multimodal Data Fusion and Attention Mechanism
[NO] 144/373 | Adaptive Prompt Generation Using ChatGPT as Cognitive Scaffolding for Improving Spanish as a Foreign Language (ELE) Writing
[NO] 145/373 | Exploring the Subjective Initiative Paradigm in the Design of a Blended Elastic Learning Environment for Smart Courses
[NO] 146/373 | Reform and Pathways of Legal Education in the “AI+” Era Using Random Forest Modeling
[NO] 147/373 | Omnidirectional Spatial Modeling from Correlated Panoramas
[NO] 148/373 | Adaptive Image Acquisition Algorithms for Resource-Constrained Single-Photon Cameras
[NO] 149/373 | TRIM: Accelerating High-Dimensional Vector Similarity Search with Enhanced Triangle-Inequality-Based Pruning
[NO] 150/373 | Efficient Size-Bounded Community Search, Revisited: Frameworks for Practical Improvements
[NO] 151/373 | Reliable and Private Utility Signaling for Data Markets
[NO] 152/373 | Secret Communication System and Cola Tablets
[NO] 153/373 | Passengers
[NO] 154/373 | A Comprehensive Survey of Subgraph Matching: [Experiments &amp; Analysis]
[NO] 155/373 | Q-Adapter: Visual Query Adapter for Extracting Textually-related Features in Video Captioning
[NO] 156/373 | Fourier-based Dual-level Perturbation for Single Domain Generalized Object Detection
[NO] 157/373 | Wandering and feeling the Scenes: Body-Aware Diffusion for 3D Human Motion Generation
[NO] 158/373 | Rethinking Misalignment in Virtual Staining: A Preliminary Study on Using STN-Guided Supervision at Training Time to Improve H&amp;E-to-IHC Translation
[NO] 159/373 | Uni-IL: Unified Incremental Learning of Vision-Language Models via Mixture of Attribute-Guided Experts
[NO] 160/373 | Adaptive Inter-Modality Attention for Enhanced Cross-Domain Deepfake Detection Transferability
[NO] 161/373 | Automated Fine-Scale Change Detection Using 3D Gaussian Splatting and VLMs
[NO] 162/373 | Fusion-Augmented Deep Multi-view Clustering via Contrastive View Expansion
[NO] 163/373 | EmoSEM: Segment and Explain Emotion Stimuli in Visual Art
[NO] 164/373 | Design and Implementation of Python-based Intelligent Matching Algorithm for Sustainable Development Education Resources
[NO] 165/373 | Research on Teaching Reform of Film and Television Music Courses Based on Knowledge Graph
[NO] 166/373 | N2E: A General Framework to Reduce Node-Differential Privacy to Edge-Differential Privacy for Graph Analytics
[NO] 167/373 | Efficient and Scalable Directed Densest Subgraph Discovery
[NO] 168/373 | Cleaning Time Series under Seasonal and Trend Constraints
[NO] 169/373 | P4KVS: A Role-Replica Separation Offloading Method to Achieve In-Network Consistency for KV Stores Based on P4 Switches
[NO] 170/373 | UniCP: A Unified Caching and Pruning Framework for Efficient Video Generation
[NO] 171/373 | KuzushijiGen: A Real-Time Few-Shot Japanese Kuzushiji Generator via Differentiable Rendering
[NO] 172/373 | PMCMatcher: A Parallel Multi-Scale Cascaded Transformer-Based Network for Multimodal Feature Matching
[NO] 173/373 | A Multi-Agent Framework for Fine-Grained Multimodal Named Entity Recognition through Check and Reasoning
[NO] 174/373 | STCGen:Sketch-based Text-to-Clothing Image Generation with Contour and Style Consistency
[NO] 175/373 | IFFN: Irrelevant Frames Filtering Network for Online Action Detection
[NO] 176/373 | A Dialogue with the Sand
[NO] 177/373 | Efficient Exact Resistance Distance Computation on Small-Treewidth Graphs: A Labelling Approach
[NO] 178/373 | TQEx: Tensor-based Query Engine Enhanced by Bridging the Gap
[NO] 179/373 | Reliable Answers for Recurring Questions: Boosting Text-to-SQL Accuracy with Template Constrained Decoding
[NO] 180/373 | Budgeted Strong Community Search in Heterogeneous Graphs
[NO] 181/373 | Effective Clustering for Large Multi-Relational Graphs
[NO] 182/373 | A Novel Engineering-Oriented Course Evaluation Framework Based on Knowledge Graphs and Market-Driven Analysis
[NO] 183/373 | Exploring Public Perceptions of Generative AI in Education with BERTopic-based Topic Modelling and LLM-driven Sentiment Analysis
[NO] 184/373 | Investigating the Impact of Blended Ideological-Political Teaching on College Students’ Professionalism via Linear Regression Analysis
[NO] 185/373 | Research on teaching effect prediction and evaluation system of ideological and political courses combining artificial intelligence and big data technology
[NO] 186/373 | VibeMus: Proactive Agentic System for Music Personalization
[NO] 187/373 | FCLHet: Spatiotemporal Knowledge Continual Learning for Federated Heterogeneous Models
[NO] 188/373 | A Unified Framework for the Convergence and Weight Pruning in Federated Learning
[NO] 189/373 | Stochastic Submodular Data Forgetting
