[2025-12-10 15:34:53] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-09
正在获取论文...
[arXiv] 2025-12-09 | Identifying counterfactual probabilities using bivariate distributions and uplift modeling
[IEEE] 2025-12-9 | Predicting Neurological Recovery After Cardiac Arrest Using MLP and Histogram-Based RR Interval Features
[IEEE] 2025-12-9 | Graph-Theoretic Approaches to Quantifying Power System Resiliency
[IEEE] 2025-12-9 | Discriminative Dictionary Learning based NILM with Spectral Features Extraction using FFT
[IEEE] 2025-12-9 | Low-Resource RAG Pipelines for Arabic Domain-Specific Corpora
[IEEE] 2025-12-9 | Performance Assessment of FACsSnI
                    <sub>3</sub>
                    Perovskite Solar Cells via Deep Learning
[IEEE] 2025-12-9 | Enhancing Grid Resilience Through Pre-positioning and Private Resource Incentives
[IEEE] 2025-12-9 | Hybrid RF-FSO/FSO-RF Multihop Relay Performance in Presence of Hyper-Rayleigh Fading
[IEEE] 2025-12-9 | Chaotic Systems: Generalized Quasi-Synchronization
[IEEE] 2025-12-9 | Power and Cross-Section Optimization for an FPGA-Based Cosmic Radiation Sensor
[IEEE] 2025-12-9 | Zoborg: Locomotion Control for Cyborg Beetles with Leg Impairment
[IEEE] 2025-12-9 | AI-Driven Approaches to Wildfire Prediction and Control: Methods, Challenges, and Future Direction
[IEEE] 2025-12-9 | Real Time Child Abduction and Detection System
[IEEE] 2025-12-9 | A Hybrid Machine Learning and TOPSIS-Based MCDM Framework for Optimized Inventory Classification
[IEEE] 2025-12-9 | Biomimetic Auxetic Compliant Tensegrity Metamaterial with Tunable Poisson's Ratio for the Application as a Soft Robotic Skin
[IEEE] 2025-12-9 | Enhancing Grid Flexibility by Providing Ancillary Services Using Heavy-Duty Electric Vehicles
[IEEE] 2025-12-9 | Enhanced Voltage Reference Circuit Design Using Quadratic Function Modeling of MOSFET Characteristics in the Saturation Region
[IEEE] 2025-12-9 | Comparison of Two Hole-Transport Layers for Hybrid Perovskite Solar Cells
[IEEE] 2025-12-9 | Convolutional Neural Network (CNN) Based Fault Detection and Classification (FDC) Models in Power Systems: A Comparative Review
[IEEE] 2025-12-9 | Visualization and Analysis of United States Independent System Operator Generator Interconnection Requests
[IEEE] 2025-12-9 | Voltage Probability Density Function Shaping Control Strategy Considering Grid Operational Uncertainties
[IEEE] 2025-12-9 | Web-Based Predictive Tool for CA19-9 Levels Using Selected Urine Biomarkers via Ensemble Learning Techniques
[IEEE] 2025-12-9 | Quantum-Enhanced Sliding Mode Control for Robust and High-Performance Industrial Robotic Manipulation
[IEEE] 2025-12-9 | Glitch Happens: Attacking the AMD-Xilinx PLL with a Clock Glitch Generator
[ACM] 2025-12-10 | Proceedings of the 2025 International Conference on Information Technology for Social Good
[ACM] 2025-12-10 | Tracking Economic Disparities in North Korea: Satellite Imagery Analysis Using AI with Policy Insights
[ACM] 2025-12-10 | RotoShop: Automatic Dataset Rotoscoping via Differentiable Splining
[ACM] 2025-12-10 | Diverse Minimum Spanning Trees
[ACM] 2025-12-9 | Infrared Recognition of Ferrous Tramp in Mining Conveyors Using Enhanced YOLOv8 with Thermal Feature Optimization
[ACM] 2025-12-9 | PD-UNet: A revised UNet Model for Electron Diffraction Patterns
[ACM] 2025-12-9 | GPU Tail Latency Diagnosis for Serverless and HPC Workloads using eBPF
[IEEE] 2025-12-9 | MFE-MTL: Simultaneously Force Estimation and Gesture Classification Based on Low-Channel sEMG for Stroke Rehabilitation
[IEEE] 2025-12-9 | MultiModal Human-Robot Interaction for Cobot-Assisted Disassembly: A Comparative Study of Voice, Gesture, GUI, and Brain Signal Control
[IEEE] 2025-12-9 | A Systematic Literature Review on Automatic Correction for Arabic Text Using Language Models and Deep Learning
[IEEE] 2025-12-9 | Emission-Aware Flexible Data Center Load Scheduling
[IEEE] 2025-12-9 | Deep Learning Based Techniques for Medical Ultrasound Images Enhancement: A Comprehensive Review
[IEEE] 2025-12-9 | A Modular Architecture for Agentic Decision-Making in Industrial Analytics
[IEEE] 2025-12-9 | IRIG-B Synchronized EMT-EMT Co-Simulation Framework for OPAL-RT/RTDS Integration
[IEEE] 2025-12-9 | Identification of Novel Potential Anticancer Peptides in the Genome of Periplaneta Americana (American Cockroach) Using Bioinformatics Tools
[IEEE] 2025-12-9 | Soft Magnetic Microrobots Assembled by Mechanical Microtweezers
[IEEE] 2025-12-9 | The Anatomy of Success: A Knowledge Management Model for Predicting Graduate Employability Placement
[IEEE] 2025-12-9 | Behavioral Intention to Use an e-Marketplace for Upcycled Products: Machine Learning based Analysis
[IEEE] 2025-12-9 | PMU-Based Electric Grid Disturbances Detection by Leveraging Reinforcement Learning
[IEEE] 2025-12-9 | Design and Performance of $\text{BaHfSe}_{3} / \text{SnS}_{2}$ Heterojunction Solar Cells: A SCAPS-1D Study
[IEEE] 2025-12-9 | Model Predictive Control with State Observer for DC Microgrid Voltage Regulation Using a Bidirectional Sepic/Zeta Battery Interface
[IEEE] 2025-12-9 | Combined Bound Tightening on McCormick Relaxations of AC Optimal Power Flow
[IEEE] 2025-12-9 | Scalable Unit Commitment for Large Power Grids: Relaxation, Tightening, and GPU-Based Solvers Evaluation
[IEEE] 2025-12-9 | A New Online Fault Detection Mechanism for Neural Network Applications
[IEEE] 2025-12-9 | A Framework for the Development of Sustainable Smart Services for the Countryside
[ACM] 2025-12-10 | Proceedings of the SIGGRAPH Asia 2025 Art Papers
[IEEE] 2025-12-9 | Safe Sliding Mode Control in Position for Double Integrator Systems
[IEEE] 2025-12-9 | A compact QRNG for IoT applications
[IEEE] 2025-12-9 | Cybersecurity in Robotic Telesurgery: Securing Robot-Console Communications for Safe Remote Surgery
[IEEE] 2025-12-9 | Design of a fusion scheme for linear analysis methods under differences in grouped cipher structures
[IEEE] 2025-12-9 | Real-Time Controller HIL Simulation for Motor Starting Studies
[IEEE] 2025-12-9 | Covert Distribution Load Tripping Attacks
[IEEE] 2025-12-9 | NanoRULNet: An Efficient and Interpretable Deep Learning Framework for Remaining Useful Life Prediction in Smart Manufacturing
[IEEE] 2025-12-9 | A Negative Feed-Forward Technique to Recover Bioelectric Signals Contaminated by Artifacts
[IEEE] 2025-12-9 | Air Quality Checking and Tracking for Environmental Compliance: An IoT-based Air Quality Monitoring System
[IEEE] 2025-12-9 | Decentralized Federated Learning for Distributed Energy Resources and Networks
[IEEE] 2025-12-9 | A Low-Power Analog Integrated Decision Tree Classifier Architecture for Apnea-Ecg Detection
[IEEE] 2025-12-9 | A Reconfigurable Multiview CNN for Breast Tumor Classification Using Intra- and Peritumoral Regions
[IEEE] 2025-12-9 | From Ports to Protocols: A Survey on Cyber Threats in Energy Storage Platforms for Microgrids
[IEEE] 2025-12-9 | Improved Robot Path Planning Integrating Bidirectional Alternating JPS and SA Algorithms
[IEEE] 2025-12-9 | ICECE 2025 Preface
[IEEE] 2025-12-9 | A Proximal Multi-Objective Optimization Method for Incorporation of Polygenic Breeding Values in Genomic Prediction
[IEEE] 2025-12-9 | Crosslinking of gelatin films with Riboflavin and ultraviolet radiation: a pilot study
[IEEE] 2025-12-9 | ICECS 2025 Index
[IEEE] 2025-12-9 | Causality-based Visual Analytics of Sentiment Contagion in Social Media Topics_supp1-3633839.mp4
[IEEE] 2025-12-9 | MoARNN-AM: Multi-Objective Automated Recurrent Neural Network with Attention Mechanism for Cyber-Attack Detection of UAV
[IEEE] 2025-12-9 | Neural Empathy-Aware Behavior Trees Meets Knowledge Graphs for Affective Human-AI Teaming
[IEEE] 2025-12-9 | Prescribed Time Prescribed Performance Control for Direct-Drive Wave Energy Conversion System
[IEEE] 2025-12-9 | 2025 Aerospace &amp; Electronic Systems Society: Meetings and Conferences
[IEEE] 2025-12-9 | RAP: Role-Aware Joint Prediction and Planning in Autonomous Driving
[IEEE] 2025-12-9 | Adaptive Change Detection in Partially Observable Dynamic Networks
[IEEE] 2025-12-9 | An Analytical Model of Mismatch Dominance Crossover in High-Speed Flash ADC Cores
[IEEE] 2025-12-9 | An Efficient Multi-Level and Cross-Domain Conditional Anonymous Authentication Scheme in V2G
[ACM] 2025-12-9 | PinCity: Multiplayer AR system with Shape-Changing Displays for Dynamic Urban Design
[ACM] 2025-12-9 | Ghost-Free Mid-Air Imaging with a Truncated Cylindrical Array Plate
[ACM] 2025-12-9 | Proceedings of the SIGGRAPH Asia 2025 Emerging Technologies
[ACM] 2025-12-9 | I-FlashAttention: Fully Integer Fused Attention for Efficient Vision Transformers
[ACM] 2025-12-10 | Automated Lighting in Virtual Production using Real-Time Image Processing Technique
[ACM] 2025-12-10 | Modeling and Simulating Origami Structures using Bilinear Solid-Shell Element
[ACM] 2025-12-10 | Secure Hardware-Assisted Blockchain Framework for IoT Device Authentication using Zero-Knowledge Proofs
[ACM] 2025-12-10 | Methodology for the design of educational digital interfaces applying neurodesign concepts
[ACM] 2025-12-10 | Neural Network Controller Design for Carbon Balance Used in Teaching Platform of a Rural Sewage Treatment System
[ACM] 2025-12-10 | LLM-Assisted Advanced Planning and Scheduling Framework for Smart Manufacturing Systems
[ACM] 2025-12-10 | Introducing a variant history protocol in the presence of state behavior in UML state machines
[ACM] 2025-12-10 | MPEG Column: 147th MPEG Meeting in Sapporo, Japan
[ACM] 2025-12-9 | TIDO: The Threat Intelligence Decision Ontology
[ACM] 2025-12-9 | Neural Reasoning for Robust Instance Retrieval in SHOIQ
[ACM] 2025-12-9 | Reducing Discomfort by Changing the Interpretation of the Cause of Pain
[IEEE] 2025-12-9 | Fuzzy Logic-based PMDC Motor Speed Control
[IEEE] 2025-12-9 | Arabic Handwriting Recognition at Line-Level: A Comprehensive Review and Hybrid Modeling Strategy*
[IEEE] 2025-12-9 | Sensitivity Analysis of Power Flow Solution in Distribution Network Using Differentiable Convex Programming
[IEEE] 2025-12-9 | Electricity Price-Aware Scheduling of Data Center Cooling
[IEEE] 2025-12-9 | Methodologies in Game Theory for Optimizing Collaboration in Microservices
[IEEE] 2025-12-9 | Low-power Asynchronous Comparator with Current Feedback for Emerging-Memory-based Computing
[IEEE] 2025-12-9 | Development of Membranes Based on Recycled Polyethylene Terephthalate (PET) Functionalized with ZNO/GO for the Removal of Methylene Blue by Adsorption
[IEEE] 2025-12-9 | Comparitive Analysis of Bulk-Driven and Gate-Driven Self-Cascode OTA in Subthreshold MOS
[IEEE] 2025-12-9 | Simulation-Based Real-Time Object Detection and Autonomous Vehicle Tracking in UAVs Using YOLOv13 and DeepSORT Within ROS 2 Framework
[IEEE] 2025-12-9 | Estimating Probabilistic Load Coincidence Factors for Distribution System Operation
[IEEE] 2025-12-9 | IoT-Based Hemoglobin Level Detection System for Anemia Patients with Image Processing
[IEEE] 2025-12-9 | Low-Power Low-Complexity 10-Bit Single-Ended SAR ADC in 65-nm CMOS for Biomedical Applications
[IEEE] 2025-12-9 | SCS-Seg: A Novel Algorithm for Protocol Field Boundary Segmentation
[IEEE] 2025-12-9 | Comparison of Parameter Estimation Techniques in Permanent Magnet DC Motors
[IEEE] 2025-12-9 | Frequency Secure Optimal Scheduling of Microgrids with Energy Storage Support
[IEEE] 2025-12-9 | Next-Generation Power Systems Education: A Data-Driven Curriculum Framework
[IEEE] 2025-12-9 | Real Time Adaptive Protection for Active Distribution Networks: A Review
[IEEE] 2025-12-9 | $\mu \text{CP}$- and DLP-Based 3D Bioprinting for Liver Tumor Microenvironment Construction
[IEEE] 2025-12-9 | Dealing with Non-Idealities of Power-Clock Generation for Adiabatic Systems
[IEEE] 2025-12-9 | Activated Clay Can Be Produced as Supplementary Cementitious Material Through Different Processes: Promising News for Cement Industry’s Decarbonization
[IEEE] 2025-12-9 | Droplet Characterization and Particle Encapsulation Using Sodium Alginate Solution in a Microfluidic Device
[IEEE] 2025-12-9 | Multiresolution Ensemble Consensus Graph Learning for Phase Identification in Power Distribution Systems
[IEEE] 2025-12-9 | Sub-Synchronous Oscillations Suppression in Weak Grids Using Adaptive Control and High-Pass Filter
[IEEE] 2025-12-9 | Aerial Intelligence for Ecosystem Protection Through AI-Enhanced UAV Surveillance of Invasive Flora
[IEEE] 2025-12-9 | Real-Time Voltage Security Assessment via Contingency Analysis Using a Mixture-of-Experts Under Varying Power Network Topologies
[IEEE] 2025-12-9 | A Timing Complementary Ternary Content-Addressable Memory Based on Memristor
[IEEE] 2025-12-9 | ML for Insurance Risk Prediction: Models, Metrics, and Insights with a Graph-Causal-Transformer Approach
[IEEE] 2025-12-9 | Evaluation of Open-Source Small Vision–Language Models for Medical Prescriptions Understanding
[IEEE] 2025-12-9 | Reinforcement Learning for Dynamic RDF Schema Evolution in NoSQL Databases
[IEEE] 2025-12-9 | A CNN-Based Continuous Authentication Framework for Enhancing Mobile Device Privacy Protection
[IEEE] 2025-12-9 | Bridge Structural Damage Detection Based on Covariance-Driven Stochastic Subspace Identification
[IEEE] 2025-12-9 | Measuring Power Grid Resilience in the Era of Flexible Resources Using Multi-time-step Dispatch Models
[IEEE] 2025-12-9 | Comparative Evaluation of Reinforcement Learning and Evolutionary Algorithms for Effective Analog Circuit Sizing
[IEEE] 2025-12-9 | Improving Power Flow Convergence By Leveraging Region of Attraction Visualization
[IEEE] 2025-12-9 | 2025 22nd International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)
[IEEE] 2025-12-9 | Effect of Pin-to-Pin Gliding Arc Plasma on NO
                    <i>
                      <sub>x</sub>
                    </i>
                    Suppression in Premixed Ammonia/Oxygen Combustion
[IEEE] 2025-12-9 | DeepVIS: Bridging Natural Language and Data Visualization Through Step-wise Reasoning_supp1-3634645.mov
[IEEE] 2025-12-9 | Towards Accurate Procedure Planning in Instructional Videos: Visual State Generation Helps Task-Selective Diffusion
[IEEE] 2025-12-9 | SFedCA: Credit Assignment-Based Active Client Selection Strategy for Spiking Federated Learning
[IEEE] 2025-12-9 | IEEE Aerospace and Electronic Systems Magazine Publication Information
[IEEE] 2025-12-9 | In This Issue–Technically
[IEEE] 2025-12-9 | IAS/PCA 2024 Cover Page
[IEEE] 2025-12-9 | A Measurement Framework for Few-Shot Industrial Defect Detection Incorporating EF-Gen
[IEEE] 2025-12-9 | Front Cover
[IEEE] 2025-12-9 | 2025 International Conference on Networking and Network Applications (NaNA)
[IEEE] 2025-12-9 | Cover 4
[IEEE] 2025-12-9 | Guest Editorial: Advances in Communication Technologies for Public Safety
[IEEE] 2025-12-9 | Call for Papers
[IEEE] 2025-12-9 | WPAlloc: An Efficient Wear-Leveling-Aware Parallel Allocator for Persistent Memory File Systems
[IEEE] 2025-12-9 | Attentional Multidomain Feature Fusion for Underwater Acoustic Signal Classification
[IEEE] 2025-12-9 | A Parallel Network Architecture for Automatic Slip Detection Task in Human-Centered Footwear Test_supp1-3627208.docx
[IEEE] 2025-12-9 | High Performance MEMS Magnetic Actuator Based on FeGa and FeGaCr Thin Films
[IEEE] 2025-12-9 | Distributed Real-Time Topology Reconfiguration for UAV Swarms via MADDPG
[IEEE] 2025-12-9 | On-demand Resource Allocation for A Quantum Network Hub
[IEEE] 2025-12-9 | Multi-Channel Clutter Modeling and Clutter Characteristic Analysis for Space-Missile Bistatic Radar Systems
[IEEE] 2025-12-9 | Atomic Norm for Parametric Estimation of Sparse Channels
[IEEE] 2025-12-9 | Fabrication of High-Flexibility LIG@PF/PDMS Composite for Flexible Pressure Sensors_supp1-3638999.doc
[IEEE] 2025-12-9 | FedCanon: Non-Convex Composite Federated Learning with Efficient Proximal Operation on Heterogeneous Data
[IEEE] 2025-12-9 | Network Coding in BLE Networks
[IEEE] 2025-12-9 | ISP-CIR-Based Channel Modeling and Modified-TCFFN Demodulation for Mobile Ultraviolet Communication
[ACM] 2025-12-10 | Human-Centered XAI in Elderly Care: A Communication-Focused Participatory Framework
[ACM] 2025-12-10 | The 2nd Edition of the Spring School on Social XR organized by CWI
[ACM] 2025-12-9 | Make soil healthy again: Construction of ontology-compliant soil health knowledge graph with large language models
[IEEE] 2025-12-9 | ICECE 2025 List Reviewer Page
[IEEE] 2025-12-9 | Advanced Baghouse Control and Monitoring: Diagnostic-based Troubleshooting in Today’s IoT Revolution
[IEEE] 2025-12-9 | Precise Control of the Kiln Shell Temperature Versus Conventional Cooling Fans
[IEEE] 2025-12-9 | SemCom-OPTIMA: Empirically-Driven Optimization of Semantic Image Transmission across Heterogeneous Edge-Cloud Systems
[IEEE] 2025-12-9 | Computation-Efficient Aerial-Marine Integrated Networks for Search and Rescue via Cooperative HAPS, UAVs and MASSs
[IEEE] 2025-12-9 | Multiphysics Analysis and Simulation of Wireless Passive Temperature and Pressure sensors for Harsh-Environment Applications
[IEEE] 2025-12-9 | Let There Be A LEAD: A New Path Towards Trustworthy Legal Summary Evaluation
[IEEE] 2025-12-9 | Fully Distributed Nash Equilibrium Search for Aggregate Games under Coupling Constraints with Bounded Disturbances
[IEEE] 2025-12-9 | A Meta-Knowledge-Driven Approach for Adaptive Security Provisioning in Industrial IoT
[IEEE] 2025-12-9 | RRTL: Red Teaming Reasoning Large Language Models in Tool Learning
[IEEE] 2025-12-9 | SalMIM: Saliency-guided Masked Image Modeling Network for Visual Emotion Analysis
[IEEE] 2025-12-9 | LiDAR-Based Autonomous Docking System for Uncooperative Vessels in GNSS-Denied Environments Using a Size-Adaptive Dubins Path
[IEEE] 2025-12-9 | Transmission-Distribution-Microgrid Network Coordination Strategy for Enhancing Grid Adequacy
[IEEE] 2025-12-9 | IEEE Transactions on Privacy
[IEEE] 2025-12-9 | Coordinated Voltage Control and Optimization of Distribution Feeders Using Gaussian Process Regression: Proposing A New Framework
[IEEE] 2025-12-9 | 50 &amp; 25 Years Ago
[IEEE] 2025-12-9 | ICT&amp;KE 2025 Cover Page
[IEEE] 2025-12-9 | A 220-GHz BiCMOS Wireless Coherent Transmitter Using Free-Running Oscillators and Kramers–Kronig Technique
[IEEE] 2025-12-9 | IEEE Computing in Science and Engineering
[IEEE] 2025-12-9 | Resource-Saving Navigation Algorithm Based on Random Sampling Search
[IEEE] 2025-12-9 | Baseline Hydropower Generation Offer Curves
[IEEE] 2025-12-9 | Language-Enhanced Mobile Manipulation for Efficient Object Search in Indoor Environments
[IEEE] 2025-12-9 | Anomaly Detection Method for Industrial Network Data Based on Multi-Scale Feature Clustering
[IEEE] 2025-12-9 | Techno-economic Analysis of Power Supply Under Population Uncertainty in Ethiopia
[IEEE] 2025-12-9 | Adaptive PI-PBC Performance via Proportional Gain Scaling in Single-Phase PWM-CSC under Linear Current Demand
[IEEE] 2025-12-9 | Modeling Fragility Curves for Substation Components Based On HILP Events Intensity
[IEEE] 2025-12-9 | A Highly Compatible Variable-Diameter Spherical Shell Based on Arc-Shaped Four-Bar Linkage Mechanism
[IEEE] 2025-12-9 | Massively Parallel Burrows-Wheeler Alignment for Microbiome Analysis over Plant Genomic Data
[IEEE] 2025-12-9 | Self-Supervised Image Classification Method Based on Multi-Attention Contrastive Learning
[IEEE] 2025-12-9 | Beyond Specs—Requirements Engineering for a Trusted Future
[IEEE] 2025-12-9 | Prevention through Design: Reducing risk in Absence of Voltage Testing to Improve Safety in Low Voltage Distribution and Control Equipment
[IEEE] 2025-12-9 | Reservation-Based Optimization of Electric Vehicle Charging Considering Dynamic Pricing and Operating Envelopes
[IEEE] 2025-12-9 | Analysis of Factors Contributing to Runs Conceded by Starting Pitchers in Innings Immediately Following Their Own Team’s Offensive Scoring
[IEEE] 2025-12-9 | What Congtive Evaluation Theory Teaches Us About Effective Demand Response Program Design
[IEEE] 2025-12-9 | Hybrid Method with Reinforcement Learning for Solar Irradiance Forecasting
[IEEE] 2025-12-9 | Approximating CCCV charging using SOC-dependent tapered charging power constraints in long-term microgrid planning
[IEEE] 2025-12-9 | Visualization of Performance Indicators Influencing Rugby Union Match Outcomes Using R Shiny
[IEEE] 2025-12-9 | A Roadmap for Multimodal Fusion in IoT-Enabled Context-Aware Recommender Systems
[IEEE] 2025-12-9 | Raising Awareness of Energy Consumption in Machine Learning
[IEEE] 2025-12-9 | Nail: Not Another Fault-Injection Framework for Chisel-generated RTL
[IEEE] 2025-12-9 | Post-Disaster Home Energy Management with Prioritized HVAC and Synthetic Load Modeling
[IEEE] 2025-12-9 | Approximating Eigenpairs With Neural Networks by Loss Function Minimization
[IEEE] 2025-12-9 | Decoding Ship Signatures in SAR Imagery Using Deep Learning for Maritime Surveillance
[IEEE] 2025-12-9 | A Cost-Resilience Trade-Off Framework for Optimizing Microgrid Resource Allocation
[ACM] 2025-12-9 | Lower Bounds for Weighted Matroid Problems
[ACM] 2025-12-10 | Robust and Efficient Hybrid Functional Maps for Non-Rigid Shape Matching
[ACM] 2025-12-10 | Research on Specialized Development of Wing Structures Based on MSC.Patran
[ACM] 2025-12-10 | Joint Design and Recovery Optimization to Enhance Resilience of Distribution Networks
[ACM] 2025-12-9 | GLIIDE: Global-Local Image Integration via Descriptive Extraction
[ACM] 2025-12-9 | Research on distributed communicational radar networking anti-stealth location technology
[ACM] 2025-12-9 | Intelligent Irrigation System for Roof Gardens Based on Microcontroller
[ACM] 2025-12-9 | Analysis of the Impact of Digital Literacy and VR Interaction Technology on Public Participation in Community Renovation Behavior—A Survey Experiment Based on Communities in City C
[ACM] 2025-12-9 | A Stamp Extraction Method for Document Images Based on Generative Adversarial Networks
[ACM] 2025-12-9 | Design and Evaluation of a Virtual Reality-Based Gamified Balance Training System
[ACM] 2025-12-9 | Design, Model, and Explore Approximate Arithmetic Operators with AI/ML: A Tutorial
[IEEE] 2025-12-9 | Integrating Outage and Restoration Time Disparities in Social Vulnerability
[IEEE] 2025-12-9 | GIS-Based Flood Management System Using Remote Sensing
[IEEE] 2025-12-9 | Impact of Contention-Aware Placement in Heterogeneous Edge Devices
[IEEE] 2025-12-9 | A Surety Microgrid Architecture for Rural Area Applications in the Commonwealth of Pennsylvania
[IEEE] 2025-12-9 | Enhancing Frequency Response Using Deep Reinforcement Learning-Controlled Battery Energy Storage Systems
[IEEE] 2025-12-9 | Bayesian Inference of Three-phase Line-to-ground Faults Using Synchrophasor Measurements
[IEEE] 2025-12-9 | A Reflective Study on Deep Learning in Brain Tumor Segmentation
[IEEE] 2025-12-9 | Design and Experimental Evaluation of an ESP32-Based Power Quality Analyzer with Introduction to Supra-Harmonic Analysis
[IEEE] 2025-12-9 | Two-tier Certificate Service for Vehicle-Road Collaboration Based on Edge Proxy and Devices Mobility Features
[IEEE] 2025-12-9 | HSM-YOLO: Hierarchical Screening and Multi-scale YOLOv8
[IEEE] 2025-12-9 | Quantifying Power Systems Resilience Using Statistical Analysis and Bayesian Learning
[IEEE] 2025-12-9 | Automatic Enrichment of Biometric Databases with Metadata Using LLMs
[IEEE] 2025-12-9 | Leveraging Design Static Analysis for Vertical Reuse in Functional Verification
[IEEE] 2025-12-9 | Classification of Arrhythmic Heart Sound Signals
[IEEE] 2025-12-9 | Evaluation of DPU-Accelerated CNNS for Emergency RF Signal Classification in Future Rescue Systems
[IEEE] 2025-12-9 | Portable Impedance Microfluidic Platform for 60-Minute Antibiotic Susceptibility Testing
[IEEE] 2025-12-9 | Load Matching Potential of Urban Renewables during Extreme Heat in New York City
[IEEE] 2025-12-9 | Authors Index
[IEEE] 2025-12-9 | Wireless Human-Machine Collaboration in Industry 5.0
[IEEE] 2025-12-9 | Task-Oriented Integrated Sensing and Semantic Communications for Multi-Device Video Analytics
[IEEE] 2025-12-9 | A Lightweight Cascade Network for Wideband Signal Detection and Recognition in Aerial Degraded Electromagnetic Scenarios
[IEEE] 2025-12-9 | A Linear Programming Framework for Optimal Event-Triggered LQG Control
[IEEE] 2025-12-9 | DA-Net: A Double Alignment Multimodal Learning Network for Point Cloud Quality Assessment
[IEEE] 2025-12-9 | Wireless Multi-Port Sensing: Virtual-VNA-Enabled De-Embedding of an Over-the-Air Fixture
[IEEE] 2025-12-9 | Enhanced Entity Matching between PubMed Authors and Research Institute’s Employees using Machine Learning
[IEEE] 2025-12-9 | Uniaxial Piezoresistive Stress Sensor With Near-Zero Transverse Sensitivity
[IEEE] 2025-12-9 | <i>Computer</i>
                    Highlights Society Magazines
[IEEE] 2025-12-9 | Table of Contents
[IEEE] 2025-12-9 | Design and Implementation of a Low-Power Memristor-Based Piccolo-80 Lightweight Encryption Algorithm Using VTM Logic Gates
[IEEE] 2025-12-9 | Synthetic Data Generation for Microalgal Cultivation Using Variational Autoencoders, GANs, and Copula-Based Models: A Case Study on Nannochloropsis oculata
[IEEE] 2025-12-9 | Voxel-Level Brain States Prediction Using Swin Transformer_supp1-3613793.docx
[IEEE] 2025-12-9 | 2025 Aerospace &amp; Electronic Systems Society: Organization and Representatives
[IEEE] 2025-12-9 | Visibility-Aware User Association and Resource Allocation in Multi-Slice LEO Satellite Networks
[IEEE] 2025-12-9 | IEEE Computer Society Information
[IEEE] 2025-12-9 | License-Compliant Distribution of Open Source Code
[IEEE] 2025-12-9 | 2025 IEEE International Conference on Cyborg and Bionic Systems (CBS)
[IEEE] 2025-12-9 | An AI-Driven Command &amp; Control Platform for Automated Post-Exploitation Intelligence Gathering and Reporting
[IEEE] 2025-12-9 | Robust Intrusion Detection Framework Using Diffusion Model Data Augmentation and Hybrid Feature Selection
[IEEE] 2025-12-9 | Spot-Energy-Aware Check-pointing for Reliable and Cost-Efficient Cloud-Based LLM Fine-Tuning
[IEEE] 2025-12-9 | VArsity: Can Large Language Models Keep Power Engineering Students in Phase?
[IEEE] 2025-12-9 | Fit4MedRob: A Next-Generation Platform for Intelligent Robotic Rehabilitation
[IEEE] 2025-12-9 | Towards an Energy-Efficient RISC-V Core Architecture with Dynamic Dual-Issue and Clock Gating
[IEEE] 2025-12-9 | Leveraging Large Language Models for Operational Specification Mining in Industrial Control Systems
[ACM] 2025-12-10 | ResNet50 Architecture and AttenD Algorithm-based Driver Distraction Detection Method
[ACM] 2025-12-10 | Fine-grained Fault Tolerance in Distributed Training Toolkits using the Syndicated Actor Model
[ACM] 2025-12-9 | Evaluation of Entity and Relation Linking for Question Answering over Knowledge Graphs
[ACM] 2025-12-9 | Proceedings of the Knowledge Capture Conference 2025
[ACM] 2025-12-9 | Research and Implementation of an Intelligent Assisted Design Platform for Home Decoration Based on the Integration of XR and AIGC
[ACM] 2025-12-9 | Smart Home Security System Based on Microcontroller
[ACM] 2025-12-9 | DFPA: Dual-Fusion with Parallel Attention for Handwriting Mathematical Expression Recognition
[ACM] 2025-12-10 | Physical Manifestation of Generative AI Music Systems for Live Performance
[ACM] 2025-12-10 | Framing the Unseen: Gesture, Network, and Intent in the Art of the Screenshot
[ACM] 2025-12-10 | "Is This Your True Intention to Participate?" — Simulated Interrogation and Hidden Control in an Agent-Driven Installation
[IEEE] 2025-12-9 | European Space Agency Cyber Italy: Enabling Evidence-Based Decision-Making in Smart Communities
[IEEE] 2025-12-9 | Overview of Satellite Internet Application Security
[IEEE] 2025-12-9 | A Fuzzy-Driven Federated Learning Framework for Sustainable Energy Network
[IEEE] 2025-12-9 | A 20 Gb/s Half-Rate PAM-4 Clock and Data Recovery with Data Independent Phase Tracking Compensation Technique
[IEEE] 2025-12-9 | A Sliding-Window Prony-Based Method for Real-Time Frequency Trend Estimation in Power Systems
[IEEE] 2025-12-9 | High-Precision CMOS Multiplier with Wide Dynamic Range
[IEEE] 2025-12-9 | Evaluating Reliability Impacts of Regional Air Mobility Operations on Power Systems
[IEEE] 2025-12-9 | Toward a Best Practices Model for Web Accessibility in E-Government Portals
[IEEE] 2025-12-9 | Development of a Compact Single-Channel Wristband EMG Sensor System for Hand Gesture Recognition
[IEEE] 2025-12-9 | Detecting Data Poisoning via LRP Heatmap Features: A Chest X-ray Case Study
[IEEE] 2025-12-9 | Miniaturized Dual 400 mV LDO Regulators with 7.3–21.5 nA Quiescent Current for Biomedical Implants
[IEEE] 2025-12-9 | Some CO2 Utilization/Processing Technologies of Interest to the Cement Industry
